City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
250,Agropoli,IT,40.35,15.0,75.99,69,0,3.0,Clear
251,Biggar,GB,55.62,-3.52,53.01,10,42,1.01,Clouds
252,Marsa Matruh,EG,31.35,27.25,77.2,82,0,9.37,Clear
253,Belaya Gora,RU,68.53,146.42,48.58,62,84,6.24,Clouds
254,Minab,IR,27.15,57.08,87.8,79,56,2.24,Clouds
255,Harindanga,IN,22.04,88.32,78.8,100,75,5.82,Thunderstorm
256,Ajdabiya,LY,30.76,20.23,72.55,88,0,8.01,Clear
257,Mahebourg,MU,-20.41,57.7,71.6,68,75,11.41,Rain
258,Igrim,RU,63.19,64.42,50.49,97,26,2.33,Clouds
259,Mayor Pablo Lagerenza,PY,-19.93,-60.77,86.65,28,0,9.1,Clear
260,Sorland,NO,67.67,12.69,49.8,68,94,14.38,Clouds
261,Maturin,VE,9.75,-63.18,75.38,93,64,4.9,Clouds
262,Kathu,TH,7.92,98.33,84.99,94,20,2.24,Clouds
263,Kargat,RU,55.2,80.28,52.47,97,44,4.56,Clouds
264,Cozumel,MX,20.51,-86.95,80.01,88,75,3.36,Clouds
265,Larsnes,NO,62.2,5.58,54.0,82,22,8.32,Clouds
266,Tual,ID,-5.67,132.75,79.84,83,38,22.21,Clouds
267,Novyy Urengoy,RU,66.08,76.63,52.03,85,0,3.6,Clear
268,Lorengau,PG,-2.02,147.27,84.33,74,48,7.18,Rain
269,Villarrica,PY,-25.75,-56.43,73.45,57,0,8.3,Clear
270,Ucluelet,CA,48.93,-125.55,66.2,77,40,11.41,Clouds
271,Dedougou,BF,12.47,-3.47,74.77,92,80,3.22,Clouds
272,Katsuura,JP,35.13,140.3,89.01,94,75,8.05,Rain
273,Puerto Penasco,MX,31.32,-113.53,91.99,77,1,7.0,Clear
274,Deputatskiy,RU,69.3,139.9,39.87,71,73,4.83,Clouds
275,Vardo,NO,70.37,31.11,48.2,87,75,16.11,Clouds
